millis,dist_raw,dist_filtered,water_height,setpoint,pid_val
53.74,47.40,48.21,18.79,0.50,0.79
53.84,46.90,48.22,18.78,0.50,0.79
53.95,45.40,48.23,18.77,0.50,0.80
54.04,47.60,48.25,18.75,0.50,0.80
54.14,46.70,48.27,18.73,0.50,0.80
54.24,47.10,48.29,18.71,0.50,0.80
54.34,45.70,48.31,18.69,0.50,0.80
54.44,46.40,48.34,18.66,0.50,0.80
54.55,46.90,48.36,18.64,0.50,0.80
54.65,47.30,48.38,18.62,0.50,0.80
54.75,47.60,48.40,18.60,0.50,0.80
54.85,47.50,48.42,18.58,0.50,0.80
54.96,46.00,48.43,18.57,0.50,0.81
55.05,45.70,48.44,18.56,0.50,0.81
55.15,46.00,48.44,18.56,0.50,0.81
55.25,48.10,48.43,18.57,0.50,0.81
55.35,44.90,48.42,18.58,0.50,0.81
55.45,45.00,48.40,18.60,0.50,0.81
55.55,47.00,48.37,18.63,0.50,0.81
55.66,46.50,48.34,18.66,0.50,0.81
55.76,45.70,48.29,18.71,0.50,0.81
55.86,45.10,48.24,18.76,0.50,0.81
55.97,45.90,48.18,18.82,0.50,0.81
56.06,45.30,48.11,18.89,0.50,0.81
56.16,44.90,48.04,18.96,0.50,0.81
56.26,44.80,47.96,19.04,0.50,0.81
56.36,47.40,47.88,19.12,0.50,0.81
56.46,47.60,47.79,19.21,0.50,0.81
56.56,45.00,47.70,19.30,0.50,0.81
56.67,45.30,47.61,19.39,0.50,0.81
56.77,44.10,47.52,19.48,0.50,0.81
56.87,46.20,47.43,19.57,0.50,0.81
56.98,47.30,47.34,19.66,0.50,0.81
57.07,45.20,47.24,19.76,0.50,0.81
57.17,44.60,47.15,19.85,0.50,0.80
57.27,46.40,47.07,19.93,0.50,0.80
57.37,45.40,46.98,20.02,0.50,0.80
57.47,46.30,46.90,20.10,0.50,0.80
57.58,45.30,46.82,20.18,0.50,0.80
57.68,44.90,46.74,20.26,0.50,0.80
57.78,44.50,46.66,20.34,0.50,0.80
57.88,45.20,46.59,20.41,0.50,0.80
57.99,44.70,46.52,20.48,0.50,0.80
58.08,43.70,46.46,20.54,0.50,0.80
58.18,45.10,46.40,20.60,0.50,0.80
58.28,44.90,46.34,20.66,0.50,0.80
58.38,45.40,46.28,20.72,0.50,0.80
58.48,43.70,46.22,20.78,0.50,0.80
58.59,44.50,46.17,20.83,0.50,0.80
58.69,45.20,46.12,20.88,0.50,0.80
58.79,43.20,46.07,20.93,0.50,0.80
58.89,45.50,46.03,20.97,0.50,0.80
59.00,43.90,45.98,21.02,0.50,0.80
59.09,43.50,45.94,21.06,0.50,0.80
59.19,43.70,45.90,21.10,0.50,0.80
59.29,43.60,45.87,21.13,0.50,0.80
59.39,42.90,45.83,21.17,0.50,0.80
59.49,43.10,45.79,21.21,0.50,0.80
59.59,43.90,45.76,21.24,0.50,0.80
59.70,43.80,45.72,21.28,0.50,0.80
59.80,43.00,45.68,21.32,0.50,0.80
59.90,43.30,45.64,21.36,0.50,0.80
60.01,43.20,45.60,21.40,0.50,0.80
60.10,43.60,45.56,21.44,0.50,0.80
60.20,42.80,45.52,21.48,0.50,0.80
60.30,42.30,45.47,21.53,0.50,0.80
60.40,43.80,45.41,21.59,0.50,0.80
60.50,42.50,45.36,21.64,0.50,0.80
60.60,42.10,45.29,21.71,0.50,0.80
60.71,44.10,45.23,21.77,0.50,0.80
60.81,42.40,45.16,21.84,0.50,0.80
60.91,41.80,45.08,21.92,0.50,0.80
61.02,43.10,45.01,21.99,0.50,0.80
